id	D	no	dance	path
122	146	13	walzer	D146walzer13.mscx
123	146	14	walzer	D146walzer14.mscx
124	146	15	walzer	D146walzer15.mscx
125	146	16	walzer	D146walzer16.mscx
126	146	17	walzer	D146walzer17.mscx
127	146	18	walzer	D146walzer18.mscx
128	146	19	walzer	D146walzer19.mscx
129	146	20	walzer	D146walzer20a.mscx
130	146	20	trio	D146trio20b.mscx
131	158	1	ecossaise	D158ecossaise01.mscx
132	299	2	ecossaise	D299ecossaise02.mscx
133	299	3	ecossaise	D299ecossaise03.mscx
134	299	4	ecossaise	D299ecossaise04.mscx
135	299	5	ecossaise	D299ecossaise05.mscx
136	299	6	ecossaise	D299ecossaise06.mscx
137	299	7	ecossaise	D299ecossaise07.mscx
138	299	8	ecossaise	D299ecossaise08.mscx
139	299	9	ecossaise	D299ecossaise09.mscx
140	299	10	ecossaise	D299ecossaise10.mscx
141	299	11	ecossaise	D299ecossaise11.mscx
142	299	12	ecossaise	D299ecossaise12.mscx
143	334	1	menuett	D334menuett01a.mscx
144	334	1	trio	D334trio01b.mscx
145	335	1	menuett	D335menuett01a.mscx
146	335	1	trioi	D335trioI01b.mscx
147	335	1	trioii	D335trioII01c.mscx
148	336	1	menuett	D336menuett01a.mscx
149	336	1	trio	D336trio01b.mscx
150	365	1	walzer	D365walzer01.mscx
151	365	2	walzer	D365walzer02.mscx
152	365	3	walzer	D365walzer03.mscx
153	365	4	walzer	D365walzer04.mscx
154	365	5	walzer	D365walzer05.mscx
155	365	6	walzer	D365walzer06.mscx
156	365	7	walzer	D365walzer07.mscx
157	365	8	walzer	D365walzer08.mscx
158	365	9	walzer	D365walzer09.mscx
159	365	10	walzer	D365walzer10.mscx
160	365	11	walzer	D365walzer11.mscx
161	365	12	walzer	D365walzer12.mscx
162	365	13	walzer	D365walzer13.mscx
163	365	14	walzer	D365walzer14.mscx
164	365	15	walzer	D365walzer15.mscx
165	365	16	walzer	D365walzer16.mscx
166	365	17	walzer	D365walzer17.mscx
167	365	18	walzer	D365walzer18.mscx
168	365	19	walzer	D365walzer19.mscx
169	365	20	walzer	D365walzer20.mscx
170	365	21	walzer	D365walzer21.mscx
171	365	22	walzer	D365walzer22.mscx
172	365	23	walzer	D365walzer23.mscx
173	365	24	walzer	D365walzer24.mscx
174	365	25	walzer	D365walzer25.mscx
175	365	26	walzer	D365walzer26.mscx
176	365	27	walzer	D365walzer27.mscx
177	365	28	walzer	D365walzer28.mscx
178	365	29	walzer	D365walzer29.mscx
179	365	30	walzer	D365walzer30.mscx
180	365	31	walzer	D365walzer31.mscx
181	365	32	walzer	D365walzer32.mscx
182	365	33	walzer	D365walzer33.mscx
183	365	34	walzer	D365walzer34.mscx
184	365	35	walzer	D365walzer35.mscx
185	365	36	walzer	D365walzer36.mscx
186	366	1	ländler	D366ländler01.mscx
187	366	2	ländler	D366ländler02.mscx
188	366	3	ländler	D366ländler03.mscx
189	366	4	ländler	D366ländler04.mscx
190	366	5	ländler	D366ländler05.mscx
191	366	6	ländler	D366ländler06.mscx
