	id	D	no	dance	path
398	397	969	5	walzer	969/D969walzer05.mscx
399	398	969	6	walzer	969/D969walzer06.mscx
400	399	969	7	walzer	969/D969walzer07.mscx
401	400	969	8	walzer	969/D969walzer08.mscx
402	401	969	9	walzer	969/D969walzer09.mscx
403	402	969	10	walzer	969/D969walzer10.mscx
404	403	969	11	walzer	969/D969walzer11.mscx
405	404	969	12	walzer	969/D969walzer12.mscx
406	405	970	1	deutscher	970/D970deutscher01.mscx
407	406	970	2	deutscher	970/D970deutscher02.mscx
408	407	970	3	deutscher	970/D970deutscher03.mscx
409	408	970	4	deutscher	970/D970deutscher04.mscx
410	409	970	5	deutscher	970/D970deutscher05.mscx
411	410	970	6	deutscher	970/D970deutscher06.mscx
412	411	971	1	deutscher	971/D971deutscher01.mscx
413	412	971	2	deutscher	971/D971deutscher02.mscx
414	413	971	3	deutscher	971/D971deutscher03.mscx
415	414	972	1	deutscher	972/D972deutscher01.mscx
416	415	972	2	deutscher	972/D972deutscher02.mscx
417	416	972	3	deutscher	972/D972deutscher03.mscx
418	417	973	1	deutscher	973/D973deutscher01.mscx
419	418	973	2	deutscher	973/D973deutscher02.mscx
420	419	973	3	deutscher	973/D973deutscher03.mscx
421	420	974	1	deutscher	974/D974deutscher01.mscx
422	421	974	2	deutscher	974/D974deutscher02.mscx
423	422	975	1	deutscher	975/D975deutscher01.mscx
424	423	976	1	cotillon	976/D976cotillon01.mscx
425	424	977	2	ecossaise	977/D977ecossaise02.mscx
426	425	977	3	ecossaise	977/D977ecossaise03.mscx
427	426	977	4	ecossaise	977/D977ecossaise04.mscx
428	427	977	5	ecossaise	977/D977ecossaise05.mscx
429	428	977	6	ecossaise	977/D977ecossaise06.mscx
430	429	977	7	ecossaise	977/D977ecossaise07.mscx
431	430	977	8	ecossaise	977/D977ecossaise08.mscx
432	431	978	1	walzer	978/D978walzer01.mscx
433	432	979	1	walzer	979/D979walzer01.mscx
434	433	980	1	walzer	980/D980walzer01.mscx
435	434	980	2	walzer	980/D980walzer02.mscx
247	435	679	2	ländler	679/D679ländler02.mscx
