id,Ta,TaTa,TaTaTa,TaTaTi,TaTaTigitigi,TaTaTimgi,TaTaTimgiri,TaTaTiti,TaTaTitigi,TaTaTriole,TaTaiti,TaTano,TaTao,TaTi,TaTimgiTa,TaTimgiTimgi,TaTimgiTiti,TaTiti,TaTitiTa,TaTitiTi,TaTitiTiti,TaTitigiTigitigi,TaTrioleTa,Tai,Taiti,TaitiTa,TaitiTimgi,TaitiTiti,TaitigiTigitigi,Tanogi,Tao,TaoTa,TaoTigitigi,TaoTimgi,TaoTimgiri,TaoTiti,TaoTriole,Taoa,Taono,TigimTi,TigimTitiTiti,Tigimgim,Tigitigi,TigitigiTa,TigitigiTaTa,TigitigiTi,TigitigiTigitigi,TigitigiTigitigiTigitigi,TigitigiTiti,Timgi,TimgiTa,TimgiTaTa,TimgiTaTigitigi,TimgiTaTimgi,TimgiTaTiti,TimgiTaiti,TimgiTi,TimgiTimgiTimgi,TimgiTiti,TimgiTitiTiti,Timgiri,TimgiriTa,TimgiriTiti,TinotigiTigitigi,Titi,TitiTa,TitiTaTa,TitiTaTi,TitiTaTimgi,TitiTaTiti,TitiTao,TitiTi,TitiTiti,TitiTitiTa,TitiTitiTi,TitiTitiTimgi,TitiTitiTiti,TitiTitino,TitigiTa,TitigiTi,TitigiTigitigi,TitigiTiti,TitigiTitigi,Triole,no,nogiTimgi,nogiTiti
37,,,0.3125,,,,,,0.0625,,,,,,,,,,,,,,,,,,,0.1875,,,0.0625,,0.125,,,,,,,,,,0.0625,,,,,,,,,0.125,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.0625,,,,,0.5625,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,0.3125,,,,,,,,,,,,,,,,,,,0.25,,,,,,,0.25,,0.0625,,,,,,,,,,,,,0.0625,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3125,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,0.5,,,,,,,,,,,,,
41,0.0625,,0.25,0.125,0.125,0.0625,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,0.0625,,,,,,,0.0625,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4375,,,0.0625,,,,,,,,,,,,,,,,,,,,,0.1875,,,,0.0625,,,,,,,,,0.0625,,,,,,,,,,,,0.0625,,,,,,,,,,
43,,,0.0625,,,,0.3125,,,,,,,,,,,,,,,,,,,,,0.0625,,,0.0625,0.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,0.125,,,,,,,,,,
44,,,0.25,,,,0.3125,,,,,,,,,,,,,,0.125,,,,,0.125,,,,,0.0625,,,,0.0625,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,0.3125,,,0.0625,,,,,,,,,,,,,,,,0.0625,,,,,,,0.0625,,,,,0.25,,,,,,,,,,,,,,,,,,,,0.125,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,0.0625,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,0.3125,,0.375,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
