id	segment_id	bass	intervals	onbeat	offbeat	labels	next	next_bass	next_label
316	12	D	('m3', 'P4', 'P5', 'M6')	('m3', 'P4', 'P5', 'M6')	('P4', 'M6')	dominant43	(316, 13)	G	dominant7
316	13	G	('M3', 'P5', 'm7')	('M3', 'P5', 'm7')	()	dominant7	(316, 14)	C	major
316	14	C	('M2', 'M3', 'P4', 'P5', 'M7')	('M2', 'M3', 'P4', 'P5', 'M7')	('M3',)	major	(316, 15)	C	major
316	15	C	('M2', 'M3', 'P4', 'P5', 'M7')	('M2', 'M3', 'P4', 'P5', 'M7')	('M3',)	major	(316, 16)	C	major
316	16	C	('M3', 'P4', 'P5')	('M3', 'P4', 'P5')	('P4', 'P5')	major	(316, 17)	B	dominant65
316	17	B	('m3', 'D5', 'm6')	('m3', 'D5', 'm6')	()	dominant65	(316, 18)	B	dominant65
316	18	B	('m3', 'D5', 'm6', 'm7')	('m3', 'D5', 'm6')	('m7',)	dominant65	(316, 19)	C	major
316	19	C	('M3', 'P5')	('M3', 'P5')	()	major	(316, 20)	C	major
316	20	C	('M3', 'P5', 'M6', 'M7')	('M3', 'P5', 'M7')	('M6',)	major	(316, 21)	C	major
316	21	C	('M3', 'P4', 'P5', 'M6')	('M3', 'P4', 'P5', 'M6')	()	major	(316, 22)	C	major
316	22	C	('M2', 'M3', 'P4', 'P5', 'M7')	('M2', 'M3', 'P4', 'P5', 'M7')	('M3',)	major	(316, 23)	C	major
316	23	C	('M2', 'M3', 'P4', 'P5', 'M7')	('M2', 'M3', 'P4', 'P5', 'M7')	()	major	(316, 24)	C	major
316	24	C	('M3', 'P5')	('M3', 'P5')	()	major			
317	1	C	('M3', 'P5')	('M3', 'P5')	('P5',)	major	(317, 2)	G	dominant7
317	2	G	('M3', 'P5', 'M6', 'm7')	('M3', 'P5', 'M6', 'm7')	('m7',)	dominant7	(317, 3)	G	dominant7
317	3	G	('M2', 'M3', 'm7')	('M2', 'M3', 'm7')	('M2',)	dominant7	(317, 4)	C	major
317	4	C	('M3', 'P4', 'P5')	('M3', 'P4', 'P5')	('P4', 'P5')	major	(317, 5)	C	major
317	5	C	('M3', 'P5')	('M3', 'P5')	('P5',)	major	(317, 6)	D	major64
317	6	D	('P4', 'M6')	('P4', 'M6')	('P4', 'M6')	major64	(317, 7)	D	dominant7
317	7	D	('M3', 'P4', 'P5', 'm7')	('M3', 'P4', 'm7')	('P5',)	dominant7	(317, 8)	G	major
317	8	G	('M2', 'M3', 'P5')	('M3', 'P5')	('M2',)	major	(317, 9)	D	minor
317	9	D	('m3', 'P4', 'P5')	('m3', 'P4', 'P5')	('P5',)	minor	(317, 10)	A	minor
317	10	A	('m3', 'P5', 'm6')	('m3', 'P5', 'm6')	()	minor	(317, 11)	F	major
317	11	F	('M3', 'P5', 'M6', 'M7')	('M3', 'P5', 'M6', 'M7')	('M3',)	major	(317, 12)	E	M3
317	12	E	('m2', 'M3')	('M3',)	('m2',)	M3	(317, 13)	G	dominant7
317	13	G	('M3', 'P5', 'M6', 'm7')	('M3', 'P5', 'M6', 'm7')	()	dominant7	(317, 14)	G	dominant43
317	14	G	('m3', 'A4', 'P5', 'M6')	('m3', 'A4', 'P5', 'M6')	('m3',)	dominant43	(317, 15)	F	dominant2
317	15	F	('M2', 'M3', 'P4', 'A4', 'M6')	('M2', 'M3', 'P4', 'A4', 'M6')	('M2', 'M3', 'M6')	dominant2	(317, 16)	C	M3
317	16	C	('M3',)	('M3',)	()	M3			
318	1	C	('M3', 'P4', 'P5', 'M6', 'M7')	('M3', 'P4', 'P5', 'M6', 'M7')	()	major	(318, 2)	C	major
318	2	C	('M3', 'P4', 'P5', 'M6', 'M7')	('M3', 'P4', 'P5', 'M6', 'M7')	()	major	(318, 3)	C	major
318	3	C	('M3', 'P4', 'P5', 'M6')	('M3', 'P4', 'P5', 'M6')	('P4',)	major	(318, 4)	C	major
318	4	C	('M3', 'P5')	('M3', 'P5')	()	major	(318, 5)	C	major
318	5	C	('M3', 'P4', 'P5', 'M6', 'M7')	('M3', 'P4', 'P5', 'M6', 'M7')	()	major	(318, 6)	C	major
318	6	C	('M3', 'P4', 'P5', 'M6', 'M7')	('M3', 'P4', 'P5', 'M6', 'M7')	()	major	(318, 7)	C	major
318	7	C	('M2', 'M3', 'P4', 'P5', 'M7')	('M2', 'M3', 'P4', 'P5', 'M7')	()	major	(318, 8)	C	major
318	8	C	('M3', 'P5', 'M6')	('M3', 'P5')	('M6',)	major	(318, 9)	A	minor
318	9	A	('M2', 'm3', 'P5')	('M2', 'm3', 'P5')	()	minor	(318, 10)	A	minor
318	10	A	('M2', 'm3', 'P5')	('M2', 'm3', 'P5')	()	minor	(318, 11)	A	major6
318	11	A	('M2', 'm3', 'P4', 'm6')	('M2', 'm3', 'P4', 'm6')	('M2',)	major6	(318, 12)	A	minor
318	12	A	('m3', 'P5')	('m3', 'P5')	()	minor	(318, 13)	A	minor
318	13	A	('M2', 'm3', 'P5')	('M2', 'm3', 'P5')	()	minor	(318, 14)	A	minor
318	14	A	('m3', 'P5')	('m3', 'P5')	()	minor	(318, 15)	E	dominant7
318	15	E	('M3', 'P5', 'm6', 'm7')	('M3', 'm6', 'm7')	('P5',)	dominant7	(318, 16)	A	minor
318	16	A	('m3', 'P5')	('m3', 'P5')	('m3',)	minor	(318, 17)	C	major
318	17	C	('M3', 'P4', 'P5', 'M6', 'M7')	('M3', 'P4', 'P5', 'M6', 'M7')	()	major	(318, 18)	C	major
318	18	C	('M3', 'P4', 'P5', 'M6', 'M7')	('M3', 'P4', 'P5', 'M6', 'M7')	()	major	(318, 19)	C	major
318	19	C	('M3', 'P4', 'P5', 'M6')	('M3', 'P4', 'P5', 'M6')	('P4',)	major	(318, 20)	C	major
318	20	C	('M3', 'P5')	('M3', 'P5')	()	major	(318, 21)	C	major
318	21	C	('M3', 'P4', 'P5', 'M6', 'M7')	('M3', 'P4', 'P5', 'M6', 'M7')	()	major	(318, 22)	C	major
318	22	C	('M3', 'P4', 'P5', 'M6', 'M7')	('M3', 'P4', 'P5', 'M6', 'M7')	()	major	(318, 23)	C	major
318	23	C	('M2', 'M3', 'P4', 'P5', 'M7')	('M2', 'M3', 'P4', 'P5', 'M7')	()	major	(318, 24)	C	major
318	24	C	('M3', 'P5')	('M3', 'P5')	()	major			
319	1	C	('M3', 'P4', 'P5', 'M6')	('M3', 'P4', 'P5', 'M6')	('M3',)	major	(319, 2)	C	major
319	2	C	('M2', 'M3', 'P4', 'P5')	('M2', 'M3', 'P4', 'P5')	('M3',)	major	(319, 3)	C	M3
319	3	C	('M2', 'M3', 'P4')	('M2', 'M3', 'P4')	()	M3	(319, 4)	C	major
319	4	C	('M3', 'P4', 'P5')	('M3', 'P4', 'P5')	('M3',)	major	(319, 5)	G	major
319	5	G	('A2', 'M3', 'A4', 'P5')	('A2', 'M3', 'A4', 'P5')	('P5',)	major	(319, 6)	G	major
319	6	G	('M3', 'P4', 'P5', 'M6')	('M3', 'P4', 'P5', 'M6')	('P5',)	major	(319, 7)	G	dominant7
319	7	G	('M3', 'P4', 'P5', 'M6', 'm7')	('M3', 'P4', 'P5', 'M6', 'm7')	()	dominant7	(319, 8)	G	major
319	8	G	('M3', 'P4', 'P5')	('M3', 'P4', 'P5')	('P5',)	major	(319, 9)	C	minor
319	9	C	('M2', 'm3', 'P5', 'M7')	('M2', 'm3', 'P5', 'M7')	('m3', 'P5')	minor	(319, 10)	C	minor
319	10	C	('M2', 'm3', 'P5', 'M7')	('M2', 'm3', 'P5', 'M7')	('P5',)	minor	(319, 11)	Bb	dominant7
319	11	Bb	('M2', 'M3', 'P4', 'P5', 'M6', 'm7')	('M2', 'M3', 'P4', 'P5', 'M6', 'm7')	('P4', 'M6')	dominant7	(319, 12)	Eb	major
