id	mc	section	keysig	timesig	duration	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	mn	next
9	1	0	-2	3/4	3/4	3/4	0	2						1	[2]
9	2	0	-2	3/4	3/4	3/4	0	2						2	[3]
9	3	0	-2	3/4	3/4	3/4	0	3						3	[4]
9	4	0	-2	3/4	3/4	3/4	0	3						4	[5]
9	5	0	-2	3/4	3/4	3/4	0	2						5	[6]
9	6	0	-2	3/4	3/4	3/4	0	2						6	[7]
9	7	0	-2	3/4	3/4	3/4	0	2						7	[8]
9	8	0	-2	3/4	3/4	1/2	0	2	endRepeat					8	[9, 0]
9	9	1	-2	3/4	3/4	1/4	1/2	2	startRepeat				1	8	[10]
9	10	1	-2	3/4	3/4	3/4	0	2						9	[11]
9	11	1	-2	3/4	3/4	3/4	0	2						10	[12]
9	12	1	-2	3/4	3/4	3/4	0	3						11	[13]
9	13	1	-2	3/4	3/4	3/4	0	2						12	[14]
9	14	1	-2	3/4	3/4	3/4	0	2						13	[15]
9	15	1	-2	3/4	3/4	3/4	0	2						14	[16]
9	16	1	-2	3/4	3/4	3/4	0	2						15	[17]
9	17	1	-2	3/4	3/4	1/2	0	2	endRepeat					16	[9]
10	0	0	-2	3/4	3/4	1/4	1/2	2	firstMeasure				1	0	[1]
10	1	0	-2	3/4	3/4	3/4	0	3						1	[2]
10	2	0	-2	3/4	3/4	3/4	0	3						2	[3]
10	3	0	-2	3/4	3/4	3/4	0	2						3	[4]
10	4	0	-2	3/4	3/4	3/4	0	2						4	[5]
10	5	0	-2	3/4	3/4	3/4	0	3						5	[6]
10	6	0	-2	3/4	3/4	3/4	0	3						6	[7]
10	7	0	-2	3/4	3/4	3/4	0	3						7	[8]
10	8	0	-2	3/4	3/4	1/2	0	2	endRepeat					8	[9, 0]
10	9	1	-2	3/4	3/4	1/4	1/2	2	startRepeat				1	8	[10]
10	10	1	-2	3/4	3/4	3/4	0	2						9	[11]
10	11	1	-2	3/4	3/4	3/4	0	2						10	[12]
10	12	1	-2	3/4	3/4	3/4	0	2						11	[13]
