	TSNE1	TSNE2	dance
340	-16.96956	4.0954924	deutscher
341	10.267928	-2.9407983	deutscher
342	6.2845316	-18.824068	deutscher
343	-3.6670883	-8.1612425	deutscher
344	-2.7710066	2.5028236	deutscher
345	6.9583097	-18.077679	deutscher
346	-0.07330401	-20.889673	deutscher
347	-9.098994	-11.232233	deutscher
348	-5.2822824	6.5130763	deutscher
349	12.560555	-7.227404	deutscher
350	-6.114671	-11.398634	deutscher
351	4.329302	-11.002267	deutscher
352	12.145406	-12.05124	deutscher
355	-3.6605392	-17.913195	ländler
356	6.060637	-4.476668	ländler
357	8.689394	-7.750336	ländler
358	17.450481	-12.330685	ländler
359	15.550401	-9.186253	ländler
360	-12.233418	-1.0044509	ländler
361	-0.033777565	-20.881018	ländler
362	13.239827	1.7999011	ländler
363	5.299024	-1.2138306	ländler
364	6.8172374	-5.7960486	ländler
365	7.867781	11.471406	ländler
369	14.957719	-4.807843	deutscher
370	15.140078	-4.9774275	deutscher
371	13.398463	-5.301926	deutscher
372	1.5615392	-17.577063	deutscher
373	0.08983012	-17.25194	deutscher
374	13.045744	-4.252036	deutscher
375	-12.025291	5.1405787	deutscher
376	11.114463	5.660578	deutscher
377	15.403494	-16.080572	walzer
378	5.4045587	-2.434248	walzer
379	3.8561006	-12.321934	walzer
380	-6.1141214	-13.523206	walzer
381	10.279147	2.3273768	walzer
382	-0.3357298	-8.440231	walzer
383	-6.722365	-13.637655	walzer
384	-7.958871	-14.739144	walzer
385	5.6673684	-0.7009574	walzer
386	1.4613289	-20.577616	walzer
387	6.8286667	-2.252092	walzer
388	2.771843	-13.658034	walzer
389	9.883469	-18.709137	walzer
392	4.4816384	-15.123667	walzer
393	1.2161989	6.168533	walzer
394	15.364014	-13.832187	walzer
395	5.7489133	-5.3005357	walzer
396	-0.49850374	-19.479246	walzer
397	0.37759274	-1.7424623	walzer
398	6.7241073	-16.04519	walzer
399	-4.495745	5.493391	walzer
400	8.142695	-11.944791	walzer
401	5.2783766	-11.715987	walzer
402	6.070136	-18.881243	walzer
403	5.76007	-7.0442457	walzer
404	-1.1432648	-4.3872576	deutscher
405	-2.831666	-8.486398	deutscher
406	-0.0843664	8.150415	deutscher
407	-3.7904928	-3.4156299	deutscher
408	-3.8584087	-3.398329	deutscher
409	1.8381969	4.8504195	deutscher
410	4.0656915	-21.238607	deutscher
411	11.426424	2.496619	deutscher
412	-7.241051	1.7920603	deutscher
413	4.7232294	1.9961832	deutscher
414	-8.142106	-9.398696	deutscher
415	1.2170792	-11.710816	deutscher
416	4.142185	8.040279	deutscher
417	-15.075395	4.6538935	deutscher
418	-7.133535	1.6866452	deutscher
419	3.1064286	-5.023663	deutscher
420	1.597959	3.5440178	deutscher
421	-0.83754396	9.242854	deutscher
430	5.6146455	-16.764551	walzer
431	4.0666003	-10.722993	walzer
432	-0.60166967	2.6233711	walzer
433	4.013781	-21.228857	walzer
434	4.502148	8.7606535	ländler
