id	segment_id	chords
25	14	('D', 'minor')
25	15	('F', 'dominant2')
25	16	('E', 'minor7')
25	17	('C', 'M3')
26	1	('G', 'dominant7')
26	2	('E', 'ambiguous')
26	3	('G', 'dominant7')
26	4	('C', 'M3')
26	5	('G#', 'diminished7')
26	6	('C', 'minor6')
26	7	('D', 'dominant7')
26	8	('G', 'suspension')
26	9	('A', 'dominant7')
26	10	('A', 'dominant43')
26	11	('G', 'dominant7')
26	12	('G', 'major64')
26	13	('G', 'dominant7')
26	14	('E', 'ambiguous')
26	15	('G', 'dominant7')
26	16	('C', 'M3')
27	1	('G', 'P4')
27	2	('C', 'M3')
27	3	('G', 'dominant7')
27	4	('D', 'ambiguous')
27	5	('G', 'P4')
27	6	('E', 'dominant7')
27	7	('C', 'major')
27	8	('C', 'suspension')
27	9	('A', 'm3')
27	10	('F', 'M3')
27	11	('D#', 'dominant65')
27	12	('D', 'dominant2')
27	13	('G', 'P4')
27	14	('Bb', 'dominant2')
27	15	('G', 'dominant7')
27	16	('C', 'M3')
28	1	('C', 'major')
28	2	('G', 'dominant7')
28	3	('E', 'minor')
28	4	('G', 'major')
28	5	('C', 'major')
28	6	('F#', 'dominant65')
28	7	('B', 'minor7')
28	8	('G', 'suspension')
28	9	('G', 'dominant7')
28	10	('G', 'major64')
28	11	('G', 'dominant7')
28	12	('G', 'dominant7')
28	13	('C', 'major')
28	14	('G', 'dominant7')
28	15	('E', 'minor7')
28	16	('C', 'M3')
29	1	('G#', 'm3')
29	2	('A', 'minor')
29	3	('C#', 'ambiguous')
29	4	('D', 'minor')
29	5	('G', 'major')
29	6	('E', 'minor7')
29	7	('F', 'dominant2')
29	8	('C', 'major')
29	9	('G', 'dominant7')
29	10	('G', 'major64')
29	11	('G', 'dominant7')
29	12	('E', 'minor7')
29	13	('E', 'dominant65')
29	14	('A', 'major6')
29	15	('F', 'dominant2')
29	16	('C', 'suspension')
30	1	('C', 'major')
30	2	('C', 'major')
30	3	('D', 'dominant43')
30	4	('C', 'major')
30	5	('D', 'dominant7')
30	6	('D', 'major64')
30	7	('D', 'dominant7')
30	8	('G', 'minor6')
30	9	('A', 'dominant7')
30	10	('A', 'minor64')
30	11	('G', 'dominant7')
30	12	('G', 'major64')
30	13	('C', 'major')
30	14	('C', 'major')
30	15	('E', 'minor')
30	16	('C', 'M3')
31	1	('C', 'major')
31	2	('C', 'major')
31	3	('C', 'major')
31	4	('Bb', 'dominant2')
31	5	('A', 'dominant7')
31	6	('F#', 'dominant65')
31	7	('G', 'dominant7')
31	8	('C', 'major')
31	9	('A', 'dominant7')
31	10	('A', 'dominant7')
31	11	('A', 'dominant7')
31	12	('F', 'minor6')
31	13	('E', 'dominant7')
31	14	('F#', 'dominant65')
31	15	('G', 'dominant7')
31	16	('C', 'M3')
32	1	('C', 'major')
32	2	('C', 'major')
32	3	('F', 'dominant2')
32	4	('E', 'minor7')
32	5	('F', 'dominant2')
32	6	('C', 'major')
32	7	('D', 'dominant7')
32	8	('G', 'suspension')
32	9	('G', 'dominant7')
32	10	('G', 'major')
32	11	('G', 'dominant7')
32	12	('G', 'dominant7')
32	13	('C', 'major')
32	14	('C', 'major')
32	15	('G', 'dominant7')
32	16	('C', 'M3')
33	1	('E', 'major6')
33	2	('F', 'dominant2')
33	3	('G', 'M3')
33	4	('A', 'minor')
33	5	('F', 'major')
33	6	('D', 'dominant7')
33	7	('D', 'dominant7')
33	8	('G', 'dominant7')
33	9	('G', 'major')
33	10	('G', 'major64')
33	11	('G', 'major')
33	12	('C', 'major')
33	13	('E', 'dominant65')
33	14	('F', 'minor6')
33	15	('G', 'major')
33	16	('C', 'major')
34	1	('G', 'major')
34	2	('E', 'minor7')
34	3	('C#', 'major6')
34	4	('G', 'dominant7')
34	5	('G', 'major')
34	6	('E', 'minor7')
34	7	('D', 'dominant7')
34	8	('G', 'suspension')
34	9	('G', 'dominant7')
34	10	('Ab', 'diminished2')
34	11	('G', 'dominant7')
34	12	('G', 'dominant7')
34	13	('G', 'major')
34	14	('E', 'minor7')
34	15	('F', 'dominant2')
34	16	('C', 'suspension')
35	1	('C', 'major')
35	2	('C', 'major')
35	3	('C', 'diminished2')
35	4	('C', 'major')
35	5	('C', 'major')
35	6	('G', 'major')
35	7	('D', 'dominant7')
35	8	('G', 'dominant7')
35	9	('G', 'major')
35	10	('G', 'dominant7')
35	11	('G', 'diminished2')
35	12	('G', 'major')
35	13	('C', 'major')
35	14	('C', 'major')
35	15	('G', 'dominant7')
35	16	('C', 'M3')
36	1	('D', 'minor7')
36	2	('C', 'suspension')
36	3	('D', 'minor7')
36	4	('G', 'major')
36	5	('C', 'dominant2')
36	6	('B', 'minor7')
36	7	('G', 'M3')
36	8	('G', 'major')
36	9	('G', 'suspension')
36	10	('G', 'major')
36	11	('G', 'M3')
36	12	('D', 'minor7')
36	13	('C', 'major')
36	14	('F', 'dominant2')
36	15	('C', 'M3')
37	1	('C', 'M3')
37	2	('E', 'dominant43')
37	3	('D', 'dominant2')
37	4	('F', 'major')
37	5	('F#', 'minor64')
37	6	('D', 'dominant43')
37	7	('G', 'dominant7')
37	8	('C', 'major')
37	9	('G', 'dominant7')
37	10	('E', 'major6')
37	11	('G', 'dominant2')
37	12	('F', 'major')
37	13	('F#', 'minor64')
37	14	('D', 'dominant43')
37	15	('G', 'dominant7')
37	16	('C', 'M3')
38	1	('C', 'major')
38	2	('C', 'major')
38	3	('B', 'dominant65')
38	4	('C', 'major')
38	5	('C', 'major')
38	6	('B', 'major6')
38	7	('C', 'dominant2')
38	8	('G', 'M3')
38	9	('B', 'dominant65')
38	10	('C', 'major')
38	11	('G', 'dominant7')
38	12	('C', 'major')
38	13	('B', 'dominant65')
38	14	('C', 'major')
38	15	('G', 'dominant7')
38	16	('C', 'major')
39	1	('C', 'major')
39	2	('C', 'major')
39	3	('G', 'major')
39	4	('G', 'major')
39	5	('C', 'major')
39	6	('C', 'major64')
39	7	('E', 'minor7')
39	8	('G', 'major')
39	9	('B', 'dominant65')
39	10	('B', 'dominant65')
39	11	('F', 'major')
39	12	('C', 'major')
39	13	('G', 'dominant7')
39	14	('C', 'major')
39	15	('G', 'dominant7')
39	16	('C', 'M3')
40	1	('G', 'dominant7')
40	2	('C', 'major')
40	3	('G', 'dominant7')
40	4	('C', 'dominant2')
40	5	('G', 'dominant7')
40	6	('C', 'major')
40	7	('G', 'dominant7')
40	8	('C', 'major')
40	9	('C', 'major64')
40	10	('C', 'major')
40	11	('G', 'dominant7')
40	12	('C', 'major')
40	13	('C', 'major64')
40	14	('C', 'major')
40	15	('G', 'dominant7')
40	16	('C', 'major')
41	1	('C', 'major')
41	2	('G', 'dominant7')
41	3	('G', 'dominant7')
41	4	('C', 'dominant2')
41	5	('A', 'dominant43')
41	6	('G', 'major')
41	7	('D', 'dominant7')
41	8	('G', 'dominant7')
41	9	('B', 'dominant65')
41	10	('C', 'dominant2')
41	11	('B', 'dominant65')
41	12	('E', 'minor7')
41	13	('Bb', 'dominant2')
41	14	('A', 'minor7')
41	15	('G', 'dominant7')
41	16	('C', 'M3')
42	1	('C', 'major')
42	2	('C', 'major')
42	3	('C', 'major')
42	4	('C', 'major')
42	5	('D', 'dominant7')
42	6	('G', 'major')
42	7	('D', 'dominant7')
42	8	('G', 'minor6')
42	9	('G', 'major')
42	10	('G', 'major')
42	11	('G', 'major')
42	12	('G', 'dominant7')
42	13	('C', 'major')
42	14	('C', 'major')
42	15	('C', 'major')
42	16	('C', 'M3')
43	1	('C', 'major64')
43	2	('C', 'major')
43	3	('C', 'major64')
43	4	('C', 'major')
43	5	('G', 'M3')
43	6	('G', 'dominant7')
43	7	('G', 'dominant7')
43	8	('C', 'major')
43	9	('G', 'major')
43	10	('G', 'major')
43	11	('G', 'dominant7')
43	12	('G', 'major')
43	13	('C', 'major64')
43	14	('C', 'major')
43	15	('G', 'dominant7')
43	16	('C', 'M3')
44	1	('C', 'major')
44	2	('A', 'minor')
44	3	('F', 'major')
44	4	('F', 'major')
44	5	('G', 'dominant7')
44	6	('G', 'major64')
44	7	('G', 'dominant7')
44	8	('C', 'major')
44	9	('G', 'dominant7')
44	10	('G', 'minor64')
44	11	('Ab', 'major')
44	12	('G', 'major')
44	13	('C', 'major')
44	14	('F', 'major')
44	15	('G', 'dominant7')
44	16	('C', 'major')
45	1	('C', 'major')
45	2	('B', 'dominant65')
45	3	('F#', 'dominant65')
45	4	('G', 'major')
45	5	('C', 'major')
45	6	('G#', 'diminished7')
45	7	('E', 'dominant7')
45	8	('A', 'minor7')
45	9	('B', 'dominant65')
45	10	('C', 'major')
45	11	('B', 'dominant65')
45	12	('C', 'major')
45	13	('C', 'major')
45	14	('B', 'dominant65')
45	15	('G', 'dominant7')
46	1	('C', 'M3')
46	2	('F', 'major')
46	3	('G', 'major')
46	4	('G', 'dominant7')
46	5	('C', 'dominant7')
46	6	('C', 'minor6')
46	7	('C', 'suspension')
46	8	('C', 'major')
46	9	('G', 'major')
46	10	('G', 'dominant7')
46	11	('G', 'major')
46	12	('G', 'dominant7')
46	13	('C', 'dominant7')
46	14	('C', 'minor6')
46	15	('C', 'suspension')
46	16	('C', 'major')
47	1	('C', 'major')
47	2	('C', 'major')
47	3	('B', 'dominant65')
47	4	('B', 'dominant65')
47	5	('C', 'major')
47	6	('F', 'minor6')
47	7	('C', 'major')
47	8	('C', 'major')
47	9	('G', 'major')
47	10	('G', 'major')
47	11	('G', 'major')
47	12	('G', 'dominant7')
47	13	('C', 'major')
47	14	('C', 'major')
47	15	('B', 'dominant65')
47	16	('B', 'dominant65')
47	17	('C', 'major')
47	18	('F', 'minor6')
47	19	('C', 'major')
47	20	('C', 'M3')
48	1	('C', 'major')
48	2	('C', 'suspension')
48	3	('C', 'major')
48	4	('C', 'major64')
48	5	('C', 'major')
48	6	('G', 'dominant7')
48	7	('C', 'major')
48	8	('G', 'dominant7')
48	9	('C', 'suspension')
48	10	('C', 'minor6')
48	11	('D', 'dominant7')
48	12	('G', 'M3')
48	13	('G', 'major')
48	14	('G', 'diminished64')
48	15	('G', 'suspension')
48	16	('G', 'major')
48	17	('C', 'major')
48	18	('C', 'diminished64')
48	19	('C', 'suspension')
48	20	('C', 'major')
48	21	('F', 'minor6')
48	22	('F', 'minor6')
48	23	('F', 'major')
48	24	('G', 'major')
48	25	('C', 'suspension')
48	26	('C', 'diminished64')
48	27	('C', 'minor64')
48	28	('C', 'major')
48	29	('G', 'dominant7')
48	30	('C', 'major')
48	31	('G', 'dominant7')
48	32	('C', 'major')
49	1	('C', 'major')
49	2	('C', 'major')
49	3	('C', 'major')
49	4	('C', 'major')
49	5	('G', 'ambiguous')
49	6	('G', 'major64')
49	7	('C', 'major')
49	8	('C', 'major')
49	9	('D', 'dominant7')
49	10	('G', 'major')
49	11	('D', 'dominant7')
49	12	('G', 'M3')
49	13	('F', 'M2')
49	14	('E', 'ambiguous')
49	15	('A', 'major')
49	16	('D', 'dominant43')
49	17	('D', 'minor')
49	18	('F', 'minor6')
49	19	('E', 'dominant43')
49	20	('D', 'minor')
49	21	('G', 'dominant7')
49	22	('G', 'major64')
49	23	('G', 'major64')
49	24	('E', 'minor')
49	25	('C', 'major')
49	26	('C', 'major')
49	27	('C', 'major')
49	28	('C', 'major')
49	29	('G', 'ambiguous')
49	30	('G', 'major64')
49	31	('C', 'major')
49	32	('C', 'major')
49	33	('G', 'dominant7')
49	34	('C', 'major')
49	35	('G', 'dominant7')
49	36	('C', 'M3')
50	1	('C', 'major')
50	2	('C', 'major')
50	3	('F', 'major')
50	4	('A', 'minor')
50	5	('G', 'major')
50	6	('F', 'dominant2')
50	7	('E', 'major6')
50	8	('C', 'unison')
50	9	('Ab', 'major')
50	10	('Ab', 'major')
50	11	('Eb', 'dominant7')
50	12	('Eb', 'dominant7')
50	13	('F', 'minor')
50	14	('F', 'minor')
50	15	('C', 'dominant7')
50	16	('C', 'dominant7')
50	17	('Ab', 'major')
50	18	('Ab', 'major')
50	19	('G', 'major')
50	20	('G', 'unison')
50	21	('C', 'major')
50	22	('C', 'major')
50	23	('F', 'major')
50	24	('A', 'minor')
50	25	('G', 'major')
50	26	('G', 'dominant7')
50	27	('E', 'major6')
50	28	('C', 'unison')
51	1	('C', 'major')
51	2	('C', 'major')
51	3	('A', 'minor')
51	4	('A', 'minor')
51	5	('F', 'major')
51	6	('A', 'unison')
51	7	('G', 'dominant7')
51	8	('G', 'dominant7')
51	9	('G', 'suspension')
51	10	('G', 'major64')
51	11	('G', 'dominant7')
51	12	('C', 'M3')
51	13	('D', 'ambiguous')
51	14	('A', 'minor')
51	15	('D', 'ambiguous')
51	16	('A', 'minor')
51	17	('G', 'dominant7')
51	18	('G', 'major64')
51	19	('G', 'dominant7')
51	20	('C', 'dominant2')
51	21	('C', 'major')
51	22	('C', 'major')
51	23	('A', 'minor')
51	24	('A', 'minor')
51	25	('F', 'major')
51	26	('A', 'unison')
51	27	('B', 'dominant65')
51	28	('F', 'major')
51	29	('G', 'suspension')
51	30	('G', 'major64')
51	31	('G', 'dominant7')
51	32	('C', 'M3')
52	1	('A', 'M7')
52	2	('A', 'M7')
52	3	('B', 'ambiguous')
52	4	('D', 'suspension')
52	5	('F', 'suspension')
52	6	('F', 'suspension')
52	7	('E', 'dominant7')
52	8	('E', 'dominant7')
52	9	('A', 'minor')
52	10	('C', 'major')
52	11	('D', 'dominant7')
52	12	('E', 'major')
52	13	('E', 'dominant7')
52	14	('E', 'dominant7')
52	15	('E', 'dominant7')
52	16	('E', 'major')
52	17	('E', 'dominant7')
52	18	('E', 'dominant7')
52	19	('D', 'dominant43')
52	20	('C', 'major')
52	21	('D', 'dominant43')
52	22	('E', 'major')
52	23	('A', 'M7')
52	24	('A', 'M7')
52	25	('Bb', 'suspension')
52	26	('C#', 'ambiguous')
52	27	('E', 'dominant43')
52	28	('E', 'dominant43')
52	29	('D', 'minor')
52	30	('D', 'minor')
52	31	('E', 'dominant7')
52	32	('E', 'dominant7')
52	33	('E', 'dominant7')
52	34	('E', 'dominant7')
52	35	('A', 'minor')
52	36	('A', 'unison')
53	1	('G', 'dominant7')
53	2	('C', 'major')
53	3	('G', 'dominant7')
53	4	('C', 'major')
53	5	('C', 'unison')
53	6	('C', 'M3')
53	7	('D', 'dominant7')
53	8	('G', 'M3')
53	9	('G', 'unison')
53	10	('G', 'M3')
53	11	('G', 'M3')
53	12	('E', 'minor')
53	13	('B', 'major')
53	14	('B', 'unison')
53	15	('G', 'M3')
53	16	('D', 'dominant7')
53	17	('G', 'M3')
53	18	('G', 'dominant7')
53	19	('C', 'major')
53	20	('G', 'dominant7')
53	21	('C', 'M3')
53	22	('C', 'M3')
53	23	('G', 'dominant7')
53	24	('C', 'M3')
54	1	('C', 'major')
54	2	('E', 'major6')
54	3	('G', 'dominant7')
54	4	('G', 'diminished64')
54	5	('A', 'minor')
54	6	('F', 'major')
54	7	('C', 'major')
54	8	('C', 'M3')
54	9	('E', 'ambiguous')
54	10	('E', 'ambiguous')
54	11	('D', 'dominant43')
54	12	('D', 'dominant43')
54	13	('C', 'major')
54	14	('F', 'major')
54	15	('G', 'major')
54	16	('G', 'dominant7')
54	17	('C', 'major')
54	18	('E', 'major6')
54	19	('G', 'dominant7')
54	20	('G', 'diminished64')
54	21	('Bb', 'dominant2')
54	22	('F#', 'dominant65')
54	23	('C', 'major')
