rel_paths	fnames	last_mc	last_mn	KeySig	TimeSig	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	musescore	ambitus	originalFormat	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument
MS3	D128deutscher02	32	32	1: 0	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	48-89 (C3-F6)		71-89 (B4-F6)	Piano	48-81 (C3-A5)	Piano
MS3	D128deutscher03	36	36	1: -4	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	39-89 (Eb2-F6)		68-89 (Ab4-F6)	Piano	39-75 (Eb2-Eb5)	Piano
MS3	D128deutscher04	28	28	1: 4	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	33-89 (A1-F6)		64-89 (E4-F6)	Piano	33-71 (A1-B4)	Piano
MS3	D128deutscher05	32	32	1: 0	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	36-89 (C2-F6)		67-89 (G4-F6)	Piano	36-77 (C2-F5)	Piano
MS3	D128deutscher06	36	36	1: -3	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	36-87 (C2-Eb6)		53-87 (F3-Eb6)	Piano	36-67 (C2-G4)	Piano
MS3	D128deutscher07	24	24	1: -1	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	36-89 (C2-F6)		65-89 (F4-F6)	Piano	36-65 (C2-F4)	Piano
MS3	D128deutscher08	27	24	1: -2	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	46-87 (Bb2-Eb6)		69-87 (A4-Eb6)	Piano	46-65 (Bb2-F4)	Piano
MS3	D128deutscher09	22	20	1: 2	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	38-89 (D2-F6)		61-89 (C#4-F6)	Piano	38-74 (D2-D5)	Piano
MS3	D128deutscher10	38	36	1: 2	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	42-88 (F#2-E6)		66-88 (F#4-E6)	Piano	42-79 (F#2-G5)	Piano
MS3	D128deutscher11	26	24	1: 2	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	33-88 (A1-E6)		57-88 (A3-E6)	Piano	33-69 (A1-A4)	Piano
MS3	D128deutscher12	22	20	1: -1	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	31-89 (G1-F6)		65-89 (F4-F6)	Piano	31-60 (G1-C4)	Piano
MS3	D128introduzione	11	11	1: -1	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	41-86 (F2-D6)		58-86 (Bb3-D6)	Piano	41-60 (F2-C4)	Piano
MS3	D139deutscher01a	50	48	1: 7	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	30-94 (F#1-A#6)		56-94 (G#3-A#6)	Piano	30-49 (F#1-C#3)	Piano
MS3	D139trio01b	26	24	1: 3	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	33-88 (A1-E6)		52-88 (E3-E6)	Piano	33-60 (A1-C4)	Piano
MS3	D145ecossaise01	16	16	1: -4	1: 2/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	27-87 (Eb1-Eb6)		69-87 (A4-Eb6)	Piano	27-65 (Eb1-F4)	Piano
MS3	D145ecossaise02	16	16	1: -4	1: 2/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	49-89 (Db3-F6)		72-89 (C5-F6)	Piano	49-68 (Db3-Ab4)	Piano
MS3	D145ecossaise03	18	16	1: 2	1: 2/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	38-86 (D2-D6)		62-86 (D4-D6)	Piano	38-62 (D2-D4)	Piano
MS3	D145ecossaise04	16	16	1: 1	1: 2/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	50-86 (D3-D6)		67-86 (G4-D6)	Piano	50-69 (D3-A4)	Piano
MS3	D145ecossaise05	16	16	1: 5	1: 2/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	35-92 (B1-G#6)		58-92 (A#3-G#6)	Piano	35-64 (B1-E4)	Piano
MS3	D145ecossaise06	16	16	1: -4	1: 2/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	33-87 (A1-Eb6)		58-87 (Bb3-Eb6)	Piano	33-61 (A1-Db4)	Piano
MS3	D145ecossaise07	8	8	1: 5	1: 2/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	40-89 (E2-F6)		66-89 (F#4-F6)	Piano	40-63 (E2-D#4)	Piano
MS3	D145ecossaise08	8	8	1: 2	1: 2/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	33-90 (A1-F#6)		62-90 (D4-F#6)	Piano	33-62 (A1-D4)	Piano
MS3	D145ecossaise08andereFassung	16	16	1: 5	1: 2/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	30-87 (F#1-D#6)		59-87 (B3-D#6)	Piano	30-59 (F#1-B3)	Piano
MS3	D145ecossaise09	8	8	1: 1	1: 2/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	38-88 (D2-E6)		71-88 (B4-E6)	Piano	38-67 (D2-G4)	Piano
MS3	D145ländler01	18	16	1: -3	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	34-87 (Bb1-Eb6)		58-87 (Bb3-Eb6)	Piano	34-68 (Bb1-Ab4)	Piano
MS3	D145ländler02	24	24	1: -3	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	41-89 (F2-F6)		67-89 (G4-F6)	Piano	41-65 (F2-F4)	Piano
MS3	D145ländler03	16	16	1: -4	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	39-87 (Eb2-Eb6)		67-87 (G4-Eb6)	Piano	39-65 (Eb2-F4)	Piano
